month,realtime_label,realtime_interseason,realtime_pmi_3mma,realtime_cpi_change,final_label,final_interseason,final_pmi_3mma,final_cpi_change
2006-11-01,Spring,False,52.43333333333334,-0.028458406241721912,Spring,True,51.300000000000004,-0.01957865402095016
2006-12-01,Spring,True,51.29999999999999,-0.018509413951014686,Summer,True,51.03333333333334,0.005119053543878094
2007-01-01,Summer,True,51.03333333333333,0.005152150027430524,Summer,True,50.4,0.006694366999717261
2007-02-01,Summer,True,50.4,0.00781713789832672,Summer,True,50.93333333333334,0.0045155810693056075
2007-03-01,Summer,True,50.93333333333334,0.003926395408951233,Summer,True,50.70000000000001,0.0027421950694848096
2007-04-01,Summer,True,50.70000000000001,0.002507512497188502,Summer,True,51.73333333333334,0.005171595852049293
2007-05-01,Summer,True,51.73333333333333,0.005022087529279906,Summer,True,51.93333333333334,0.0028962496032558516
2007-06-01,Summer,True,51.93333333333334,0.0030381964008916462,Spring,False,52.56666666666667,-0.0010543218196970017
2007-07-01,Spring,False,52.56666666666666,-0.0011847806284506213,Spring,False,52.5,-0.0027503417683254483
2007-08-01,Spring,False,52.5,-0.0021315917432631615,Spring,True,51.96666666666667,-0.00812437263771737
2007-09-01,Spring,True,51.96666666666667,-0.007853954653558759,Summer,True,51.43333333333334,0.0014106131600604144
2007-10-01,Summer,True,51.43333333333334,0.0009867773204039754,Summer,True,51.0,0.012928077790316683
2007-11-01,Summer,True,51.0,0.01143837353581545,Summer,True,50.866666666666674,0.0247581884783179
2007-12-01,Summer,True,50.86666666666667,0.023594420230577118,Summer,True,50.20000000000001,0.012749869624372634
2008-01-01,Summer,True,50.199999999999996,0.013635311850180187,Summer,True,50.06666666666667,0.006839972896385049
2008-02-01,Summer,True,50.06666666666666,0.0085995513148589,Winter,True,49.333333333333336,-0.0023030805612069827
2008-03-01,Winter,True,49.333333333333336,-0.002482962097750452,Winter,True,49.20000000000001,-0.0013390984228309755
2008-04-01,Winter,True,49.199999999999996,-0.0012243577706956277,Winter,True,48.5,-0.003909346791771684
2008-05-01,Winter,True,48.5,-0.005194819533256956,Winter,True,48.93333333333334,-0.0005454544748797474
